index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
0,12477554,3,554,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,85,17.0,0,,40,,0.625,NOTHING,1.0,,0.0,,,RS,
0,12477554,4,554,Absent,34,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,17.0,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,102,-6.0,34,0.0,51,0.44,0.5625,RS,0.53125,32.0,0.39285714285714285,0.0,,RS,1.0
0,12477554,9,554,Absent,25,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,7.0,25,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,178,32.0,25,0.34146341463414637,64,0.15853658536585363,0.609375,RS,0.390625,16.0,0.37735849056603776,16.0,0.010256410256410275,RS,0.53125
0,12477554,10,554,Absent,48,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,32.0,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,210,-22.0,48,0.37735849056603776,48,0.37735849056603776,0.75,RS,0.75,7.0,0.7166666666666667,25.0,0.15853658536585363,RS,0.390625
0,12477554,11,554,Absent,55,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-22.0,54,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,188,17.0,55,0.7166666666666667,63,0.7166666666666667,0.140625,RS,0.859375,32.0,0.7,0.0,0.37735849056603776,RS,0.75
0,12477554,21,554,Absent,58,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,3.0,29,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,2,25.0,58,0.5,62,0.015625,0.515625,RS,0.90625,0.0,0.5901639344262295,32.0,0.19369103773584906,RS,0.859375
0,12477554,22,554,Absent,39,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,25.0,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,27,23.0,39,0.5901639344262295,41,0.42349726775956287,0.53125,RS,0.609375,3.0,0.38596491228070173,29.0,0.015625,RS,0.90625
0,12477554,23,554,Absent,40,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,23.0,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,50,6.0,40,0.38596491228070173,44,0.28596491228070176,0.546875,RS,0.625,25.0,0.2857142857142857,7.0,0.42349726775956287,LEFT,0.609375
0,12477554,24,554,Absent,32,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,6.0,26,Unicorn_Absent,-1,-1.0,5,Unicorn_Absent,56,32.0,32,0.2857142857142857,57,0.12207792207792206,0.484375,LEFT,0.8823529411764706,23.0,0.0,9.0,0.28596491228070176,NOTHING,0.625
0,12477554,27,554,Absent,28,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,4.0,28,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,116,32.0,28,0.0,64,0.09375,0.5625,RS,0.4375,32.0,0.25,0.0,0.09615384615384616,RIGHT,0.8823529411764706
