index,Dyad,Round,Player,Answer,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
0,1028475429,1,10284,Absent,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,17.0,15,Unicorn_Absent,0,Unicorn_Absent,17,0.0,16,,59,,0.6875,RS,0.25,,0.2,,,BOTTOM,
0,1028475429,2,10284,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,3,Unicorn_Absent,17,32.0,32,0.2,32,0.25161290322580643,0.0,BOTTOM,1.0,17.0,0.30434782608695654,15.0,,OUT,0.25
0,1028475429,8,10284,Absent,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,18.0,14,Unicorn_Absent,0,Unicorn_Absent,164,4.0,35,0.0,49,0.37037037037037035,0.546875,RS,0.546875,32.0,0.546875,0.0,0.0,ALL,1.0
0,1028475429,13,10284,Absent,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,2,Unicorn_Absent,0,Unicorn_Absent,267,1.0,3,0.09090909090909091,33,0.37575757575757573,0.484375,RS,0.08333333333333333,25.0,0.08333333333333333,7.0,0.23642418032786883,IN,0.546875
0,1028475429,14,10284,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,31,Unicorn_Absent,7,Unicorn_Absent,268,32.0,36,0.08333333333333333,64,0.40846994535519127,0.515625,IN,1.0,30.0,0.36,2.0,0.37575757575757573,BOTTOM,0.08333333333333333
0,1028475429,15,10284,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,3,Unicorn_Absent,300,16.0,32,0.36,64,0.1318032786885246,1.0,BOTTOM,1.0,1.0,0.3333333333333333,31.0,0.40846994535519127,LEFT,1.0
0,1028475429,16,10284,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16.0,16,Unicorn_Absent,5,Unicorn_Absent,316,29.0,32,0.3333333333333333,48,0.3333333333333333,0.5,LEFT,1.0,32.0,0.1388888888888889,0.0,0.1318032786885246,RS,1.0
0,1028475429,21,10284,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,12,Unicorn_Absent,4,Unicorn_Absent,357,32.0,32,0.24242424242424243,40,0.011655011655011649,0.4375,TOP,1.0,29.0,0.0,3.0,0.16545893719806765,NOTHING,1.0
0,1028475429,33,10284,Absent,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,13.0,19,Unicorn_Absent,0,Unicorn_Absent,562,0.0,31,0.0,48,0.3617021276595745,0.453125,RS,0.484375,32.0,0.484375,0.0,0.45,ALL,1.0
0,1028475429,37,10284,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,18.0,14,Unicorn_Absent,5,Unicorn_Absent,625,32.0,32,0.5,46,0.19565217391304346,0.5,LEFT,1.0,0.0,0.3333333333333333,32.0,0.12437500000000001,BOTTOM,0.484375
0,1028475429,42,10284,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14.0,18,Unicorn_Absent,7,Unicorn_Absent,734,6.0,36,0.36,50,0.36,0.5,IN,1.0,32.0,0.36,0.0,0.3333333333333333,RIGHT,1.0
0,1028475429,43,10284,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,6.0,26,Unicorn_Absent,6,Unicorn_Absent,740,32.0,32,0.36,58,0.06372881355932203,0.5,RIGHT,1.0,14.0,0.0,18.0,0.36,NOTHING,1.0
0,1028475429,44,10284,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,2,Unicorn_Absent,772,32.0,0,0.0,0,0.0,0.0,NOTHING,1.0,6.0,1.0,26.0,0.06372881355932203,NOTHING,1.0
0,1028475429,55,10284,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14.0,18,Unicorn_Absent,7,Unicorn_Absent,787,0.0,36,0.36,50,0.026666666666666672,0.5,IN,1.0,16.0,0.36,16.0,1.0,BOTTOM,1.0
0,1028475429,58,10284,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,8.0,24,Unicorn_Absent,6,Unicorn_Absent,803,-1.0,32,0.3333333333333333,58,0.4479166666666667,0.53125,RIGHT,1.0,0.0,0.5,32.0,0.14,ALL,1.0
0,1028475429,1,754298,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17.0,15,Unicorn_Absent,0,Unicorn_Absent,17,0.0,58,,59,,0.6875,RS,0.90625,,0.45161290322580644,,,BOTTOM,
0,1028475429,2,754298,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,3,Unicorn_Absent,17,32.0,32,0.45161290322580644,32,0.25161290322580643,0.0,BOTTOM,1.0,17.0,0.0,15.0,,NOTHING,0.90625
0,1028475429,8,754298,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18.0,14,Unicorn_Absent,8,Unicorn_Absent,164,4.0,28,0.37037037037037035,49,0.37037037037037035,0.546875,OUT,1.0,32.0,1.0,0.0,0.0,OUT,1.0
