index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
0,145883803,1,1458,Absent,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,23.0,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,23,22.0,14,,38,,0.453125,RS,0.24324324324324326,,0.09090909090909091,,,RS,
0,145883803,2,1458,Absent,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,22.0,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,45,-15.0,10,0.09090909090909091,62,0.41702741702741697,0.8125,RS,0.16666666666666666,23.0,0.16,9.0,,RS,0.24324324324324326
0,145883803,9,1458,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.0,24,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,0,6.0,36,0.576271186440678,50,0.017478813559322015,0.40625,IN,0.8947368421052632,-25.0,0.8947368421052632,57.0,0.24395161290322576,IN,0.16666666666666666
0,145883803,12,1458,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6.0,26,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,29,30.0,36,1.0,52,0.4736842105263158,0.40625,IN,1.0,6.0,0.8947368421052632,26.0,0.4385964912280702,IN,0.8947368421052632
0,145883803,21,1458,Absent,55,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-14.0,46,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,131,-2.0,55,0.6557377049180327,62,0.06953080836630865,0.25,RS,0.859375,4.0,0.45901639344262296,28.0,0.43859649122807015,RS,1.0
0,145883803,22,1458,Absent,34,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-2.0,34,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,129,-24.0,34,0.45901639344262296,64,0.36910860655737704,0.46875,RS,0.53125,-14.0,0.47540983606557374,46.0,0.06953080836630865,RS,0.859375
0,145883803,23,1458,Absent,56,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-24.0,56,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,105,32.0,56,0.47540983606557374,64,0.5245901639344263,0.125,RS,0.875,-2.0,0.03571428571428571,34.0,0.36910860655737704,RS,0.53125
0,145883803,29,1458,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,291,32.0,32,0.15789473684210525,64,0.8421052631578947,1.0,TOP,1.0,26.0,1.0,6.0,1.0,TOP,0.875
0,145883803,30,1458,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,323,31.0,32,1.0,64,0.0,1.0,TOP,1.0,32.0,0.9090909090909091,0.0,0.8421052631578947,TOP,1.0
0,145883803,33,1458,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,27,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,391,12.0,32,0.9090909090909091,56,0.5023112480739599,0.453125,TOP,1.0,31.0,1.0,1.0,0.09090909090909094,TOP,1.0
0,145883803,34,1458,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,20,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,403,21.0,32,1.0,51,0.36363636363636365,0.484375,TOP,1.0,5.0,0.8823529411764706,27.0,0.5023112480739599,TOP,1.0
0,145883803,49,1458,Absent,32,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,11.0,21,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,182,14.0,32,0.3191489361702128,55,0.13085106382978723,0.53125,RS,0.5,8.0,0.4074074074074074,24.0,0.23292349726775957,RS,1.0
0,145883803,59,1458,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,462,32.0,32,1.0,64,0.0,1.0,BOTTOM,1.0,32.0,1.0,0.0,0.047619047619047616,BOTTOM,0.5
0,145883803,1,838034,Absent,33,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,23.0,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,23,22.0,33,,38,,0.453125,RS,0.515625,,0.5079365079365079,,,RS,
0,145883803,2,838034,Absent,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,22.0,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,45,-15.0,62,0.5079365079365079,62,0.41702741702741697,0.8125,RS,0.96875,23.0,0.90625,9.0,,RS,0.515625
0,145883803,9,838034,Absent,38,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,8.0,24,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,0,6.0,38,0.59375,50,0.017478813559322015,0.40625,RS,0.59375,-25.0,0.45614035087719296,57.0,0.24395161290322576,RS,0.96875
0,145883803,12,838034,Absent,42,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,6.0,26,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,29,30.0,42,0.5263157894736842,52,0.4736842105263158,0.40625,RS,0.65625,6.0,0.023255813953488372,26.0,0.4385964912280702,NOTHING,0.59375
0,145883803,21,838034,Absent,53,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,-14.0,46,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,131,-2.0,53,0.5862068965517241,62,0.06953080836630865,0.25,RS,0.828125,4.0,0.828125,28.0,0.43859649122807015,ALL,0.65625
0,145883803,22,838034,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.0,34,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,129,-24.0,64,0.828125,64,0.36910860655737704,0.46875,ALL,1.0,-14.0,1.0,46.0,0.06953080836630865,ALL,0.828125
0,145883803,23,838034,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-24.0,56,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,105,32.0,64,1.0,64,0.5245901639344263,0.125,ALL,1.0,-2.0,0.5,34.0,0.36910860655737704,BOTTOM,1.0
0,145883803,29,838034,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,291,32.0,32,1.0,64,0.8421052631578947,1.0,BOTTOM,1.0,26.0,1.0,6.0,1.0,BOTTOM,1.0
0,145883803,30,838034,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32.0,0,Unicorn_Absent,-1,-1.0,3,Unicorn_Absent,323,31.0,32,1.0,64,0.0,1.0,BOTTOM,1.0,32.0,1.0,0.0,0.8421052631578947,BOTTOM,1.0
0,145883803,33,838034,Absent,51,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,5.0,27,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,391,12.0,51,0.4067796610169492,56,0.5023112480739599,0.453125,RS,0.796875,31.0,0.6363636363636364,1.0,0.09090909090909094,RS,1.0
0,145883803,34,838034,Absent,39,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,12.0,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,403,21.0,39,0.6363636363636364,51,0.36363636363636365,0.484375,RS,0.609375,5.0,0.14583333333333334,27.0,0.5023112480739599,RS,0.796875
0,145883803,49,838034,Absent,44,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,11.0,21,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,182,14.0,44,0.45,55,0.13085106382978723,0.53125,RS,0.6875,8.0,0.34615384615384615,24.0,0.23292349726775957,RS,0.609375
0,145883803,59,838034,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,4,Unicorn_Absent,462,32.0,32,1.0,64,0.0,1.0,TOP,1.0,32.0,1.0,0.0,0.047619047619047616,TOP,0.6875
0,294392648,7,2648,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30.0,2,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,-47,32.0,2,0.0,64,0.734375,0.96875,NOTHING,0.0625,32.0,0.0,0.0,,NOTHING,
0,294392648,8,2648,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,-15,32.0,0,0.0,62,0.96875,0.96875,NOTHING,1.0,30.0,1.0,2.0,0.734375,NOTHING,0.0625
0,294392648,16,2648,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-32.0,64,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,40,25.0,64,0.90625,64,0.40625,0.0,ALL,1.0,4.0,0.5,28.0,0.5,RIGHT,1.0
0,294392648,17,2648,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,25.0,7,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,65,32.0,32,0.5,46,0.171875,0.609375,RIGHT,0.8823529411764706,-32.0,0.8823529411764706,64.0,0.40625,RIGHT,1.0
0,294392648,18,2648,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32.0,0,Unicorn_Absent,-1,-1.0,6,Unicorn_Absent,97,32.0,32,0.8823529411764706,32,0.8823529411764706,0.5,RIGHT,1.0,25.0,1.0,7.0,0.171875,RIGHT,0.8823529411764706
