level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,indice,Cambio,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1
3,0,347095622,4,3470,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,96,0.9,0.0,3,0,23.0,32,1.0,48,0.7173913043478262,0.5,16.0,0.9,1.0,
4,0,347095622,5,3470,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.0,9,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,119,0.94375,16.0,4,0,16.0,32,1.0,41,0.8372093023255813,0.5,16.0,0.9,1.0,0.7173913043478262
5,0,347095622,6,3470,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,135,0.9,9.0,5,0,18.0,32,1.0,48,0.8372093023255813,0.5,23.0,0.94375,1.0,0.8372093023255813
6,0,347095622,7,3470,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18.0,14,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,153,0.9125,16.0,6,0,16.0,32,1.0,38,0.631578947368421,0.375,16.0,0.9,1.0,0.8372093023255813
7,0,347095622,8,3470,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,169,0.9,14.0,7,0,17.0,32,1.0,48,0.631578947368421,0.5,18.0,0.9125,1.0,0.631578947368421
8,0,347095622,9,3470,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17.0,15,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,186,0.90625,16.0,8,0,18.0,32,1.0,47,0.6521739130434783,0.5,16.0,0.9,0.4146341463414634,0.631578947368421
13,0,347095622,4,956224,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,96,0.9,0.0,13,0,23.0,32,0.2826086956521739,48,0.7173913043478262,0.5,16.0,0.9,0.16279069767441862,
14,0,347095622,5,956224,Absent,21,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,23.0,9,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,119,0.94375,16.0,14,0,16.0,18,0.16279069767441862,41,0.8372093023255813,0.5,16.0,0.9,0.16279069767441862,0.7173913043478262
15,0,347095622,6,956224,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16.0,16,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,135,0.9,9.0,15,0,18.0,32,0.16279069767441862,48,0.8372093023255813,0.5,23.0,0.94375,0.3684210526315789,0.8372093023255813
16,0,347095622,7,956224,Absent,21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,18.0,14,Unicorn_Absent,-1,-1.0,,Unicorn_Absent,153,0.9125,16.0,16,0,16.0,20,0.3684210526315789,38,0.631578947368421,0.375,16.0,0.9,0.3684210526315789,0.8372093023255813
