index,Dyad,Round,Player,Answer,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo
0,249972187,1,2187,Absent,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,5.0,27,Unicorn_Absent,0,Unicorn_Absent,5,18.0,28,,63,,0.5625,RS,,0.25,,,LEFT
0,249972187,7,2187,Absent,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,18.0,14,Unicorn_Absent,0,Unicorn_Absent,8,6.0,35,0.45652173913043476,53,0.15217391304347822,0.609375,RS,18.0,0.5471698113207547,14.0,0.15625,RS
0,249972187,8,2187,Absent,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6.0,26,Unicorn_Absent,0,Unicorn_Absent,14,7.0,47,0.5471698113207547,57,0.18716981132075472,0.484375,RS,18.0,0.22033898305084745,14.0,0.15217391304347822,RS
0,249972187,9,2187,Absent,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.0,25,Unicorn_Absent,0,Unicorn_Absent,21,14.0,25,0.22033898305084745,64,0.3421610169491526,0.609375,RS,6.0,0.35555555555555557,26.0,0.18716981132075472,IN
0,249972187,10,2187,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14.0,18,Unicorn_Absent,7,Unicorn_Absent,35,16.0,36,0.35555555555555557,50,0.14444444444444443,0.5,IN,7.0,0.2962962962962963,25.0,0.3421610169491526,RS
0,249972187,16,2187,Absent,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,29.0,3,Unicorn_Absent,0,Unicorn_Absent,94,-23.0,39,0.37254901960784315,44,0.24754901960784315,0.640625,RS,26.0,0.6166666666666667,6.0,0.1316526610644258,RS
0,249972187,17,2187,Absent,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-23.0,55,Unicorn_Absent,0,Unicorn_Absent,71,16.0,58,0.6166666666666667,64,0.4855191256830601,0.140625,RS,29.0,0.5,3.0,0.24754901960784315,BOTTOM
0,249972187,18,2187,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16.0,16,Unicorn_Absent,3,Unicorn_Absent,87,22.0,32,0.5,48,0.0,0.5,BOTTOM,-23.0,0.21621621621621623,55.0,0.4855191256830601,RS
0,249972187,21,2187,Absent,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,13.0,19,Unicorn_Absent,0,Unicorn_Absent,154,16.0,41,0.2,50,0.19285714285714284,0.484375,RS,22.0,0.32727272727272727,10.0,0.12804607886575098,RIGHT
0,249972187,22,2187,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16.0,16,Unicorn_Absent,6,Unicorn_Absent,170,28.0,32,0.32727272727272727,48,0.02292490118577073,0.5,RIGHT,13.0,0.05405405405405406,19.0,0.19285714285714284,RS
0,249972187,36,2187,Absent,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,18.0,14,Unicorn_Absent,0,Unicorn_Absent,354,12.0,31,0.1891891891891892,49,0.14414414414414412,0.546875,RS,24.0,0.37037037037037035,8.0,0.12121212121212122,RS
0,249972187,37,2187,Absent,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,12.0,20,Unicorn_Absent,0,Unicorn_Absent,366,3.0,43,0.37037037037037035,55,0.6296296296296297,0.546875,RS,18.0,0.5319148936170213,14.0,0.14414414414414412,RS
0,249972187,41,2187,Absent,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8.0,24,Unicorn_Absent,0,Unicorn_Absent,414,5.0,52,0.42105263157894735,56,0.016447368421052655,0.5,RS,3.0,0.4482758620689655,29.0,0.03191489361702127,LEFT
0,249972187,59,2187,Absent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,28.0,4,Unicorn_Absent,0,Unicorn_Absent,627,28.0,10,0.13513513513513514,30,0.06616961789375583,0.40625,RS,29.0,0.13513513513513514,3.0,0.36682365253793825,LEFT
0,249972187,1,249976,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5.0,27,Unicorn_Absent,0,Unicorn_Absent,5,18.0,62,,63,,0.5625,RS,,0.40625,,,OUT
0,249972187,7,249976,Absent,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18.0,14,Unicorn_Absent,6,Unicorn_Absent,8,6.0,32,0.30434782608695654,53,0.15217391304347822,0.609375,RIGHT,18.0,0.36,14.0,0.15625,IN
0,249972187,8,249976,Absent,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6.0,26,Unicorn_Absent,7,Unicorn_Absent,14,7.0,36,0.36,57,0.18716981132075472,0.484375,IN,18.0,0.5625,14.0,0.15217391304347822,ALL
