index,Dyad,Round,Player,Answer,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,Strategy,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo
0,203266169,7,2032,Absent,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,32.0,0,Unicorn_Absent,5,Unicorn_Absent,166,32.0,32,0.40384615384615385,32,0.40384615384615385,0.5,LEFT,26.0,1.0,6.0,,LEFT
0,203266169,23,2032,Absent,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25.0,7,Unicorn_Absent,0,Unicorn_Absent,229,2.0,11,0.19444444444444445,36,0.16555555555555554,0.453125,RS,14.0,0.16393442622950818,18.0,0.7441860465116279,RS
0,203266169,24,2032,Absent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,2.0,30,Unicorn_Absent,0,Unicorn_Absent,231,15.0,60,0.16393442622950818,62,0.8360655737704918,0.5,RS,25.0,0.8709677419354839,7.0,0.16555555555555554,RS
0,203266169,25,2032,Absent,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,15.0,17,Unicorn_Absent,0,Unicorn_Absent,246,14.0,56,0.8709677419354839,57,0.6514555468135327,0.625,RS,2.0,0.45161290322580644,30.0,0.8360655737704918,RS
0,203266169,26,2032,Absent,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,14.0,18,Unicorn_Absent,0,Unicorn_Absent,260,14.0,34,0.45161290322580644,48,0.1695616211745244,0.46875,RS,15.0,0.32,17.0,0.6514555468135327,LEFT
0,203266169,29,2032,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27.0,5,Unicorn_Absent,3,Unicorn_Absent,237,14.0,32,0.3333333333333333,47,0.08888888888888888,0.65625,BOTTOM,14.0,1.0,18.0,0.03999999999999998,BOTTOM
0,203266169,30,2032,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14.0,18,Unicorn_Absent,3,Unicorn_Absent,251,4.0,32,1.0,50,0.7555555555555555,0.5,BOTTOM,27.0,1.0,5.0,0.08888888888888888,BOTTOM
0,203266169,31,2032,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0,28,Unicorn_Absent,3,Unicorn_Absent,255,32.0,32,1.0,60,0.4918032786885246,0.5,BOTTOM,14.0,0.0,18.0,0.7555555555555555,NOTHING
0,203266169,32,2032,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,2,Unicorn_Absent,287,32.0,0,0.0,30,0.5087719298245614,0.46875,NOTHING,4.0,1.0,28.0,0.4918032786885246,NOTHING
0,203266169,37,2032,Absent,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,11.0,21,Unicorn_Absent,0,Unicorn_Absent,330,20.0,29,0.0,57,0.4727272727272727,0.5625,RS,32.0,0.35714285714285715,0.0,0.0,OUT
0,203266169,38,2032,Absent,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,20.0,12,Unicorn_Absent,8,Unicorn_Absent,350,15.0,28,0.35714285714285715,47,0.04636591478696739,0.546875,OUT,11.0,1.0,21.0,0.4727272727272727,OUT
0,203266169,44,2032,Absent,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,-11.0,43,Unicorn_Absent,0,Unicorn_Absent,240,22.0,47,0.41509433962264153,62,0.14046121593291405,0.296875,RS,15.0,0.5245901639344263,17.0,0.607843137254902,RS
0,203266169,45,2032,Absent,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,22.0,10,Unicorn_Absent,0,Unicorn_Absent,262,32.0,46,0.5245901639344263,50,0.30425118088357883,0.625,RS,-11.0,0.0,43.0,0.14046121593291405,NOTHING
0,203266169,49,2032,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,2,Unicorn_Absent,390,32.0,0,1.0,34,0.8947368421052632,0.53125,NOTHING,32.0,1.0,0.0,0.047619047619047616,NOTHING
0,203266169,50,2032,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,2,Unicorn_Absent,422,32.0,0,1.0,31,0.6458333333333333,0.484375,NOTHING,32.0,1.0,0.0,0.8947368421052632,NOTHING
